#ell    N_ell^TT    N_ell^EE    N_ell^BB    C_ell^TT(delensed)  N_ell^dd    N_ell^phiphi
9.400000000000000000e+01 7.616473292070036001e-13 1.523294658414007200e-12 1.523294658414007200e-12 1.828556000000000070e+00 2.407654180032908538e-15 2.696141299029013287e-19
9.500000000000000000e+01 7.616495374402309768e-13 1.523299074880461954e-12 1.523299074880461954e-12 1.811824000000000101e+00 2.357399372712693981e-15 2.584867733237603115e-19
9.600000000000000000e+01 7.616517689245222876e-13 1.523303537849044575e-12 1.523303537849044575e-12 1.795398000000000049e+00 2.308705062198188227e-15 2.479279491192212344e-19
9.700000000000000000e+01 7.616540236600820053e-13 1.523308047320164011e-12 1.523308047320164011e-12 1.779563000000000006e+00 2.261507267937813503e-15 2.379031420090272652e-19
9.800000000000000000e+01 7.616563016471165210e-13 1.523312603294233042e-12 1.523312603294233042e-12 1.764148999999999967e+00 2.215745255815943909e-15 2.283802572475720202e-19
9.900000000000000000e+01 7.616586028858343466e-13 1.523317205771668693e-12 1.523317205771668693e-12 1.749044999999999961e+00 2.171361342445712959e-15 2.193294285298700003e-19
1.000000000000000000e+02 7.616609273764463160e-13 1.523321854752892632e-12 1.523321854752892632e-12 1.734382000000000090e+00 2.128300713089940321e-15 2.107228428801921222e-19
1.010000000000000000e+02 7.616632751191652831e-13 1.523326550238330566e-12 1.523326550238330566e-12 1.720050000000000079e+00 2.086511252136270267e-15 2.025345808713133646e-19
1.020000000000000000e+02 7.616656461142062217e-13 1.523331292228412443e-12 1.523331292228412443e-12 1.706260000000000110e+00 2.045943385146866231e-15 1.947404706973982815e-19
1.030000000000000000e+02 7.616680403617861255e-13 1.523336080723572251e-12 1.523336080723572251e-12 1.692641000000000062e+00 2.006549931588198917e-15 1.873179547785846777e-19
1.040000000000000000e+02 7.616704578621243103e-13 1.523340915724248621e-12 1.523340915724248621e-12 1.679361000000000104e+00 1.968285967423471240e-15 1.802459677127720914e-19
1.050000000000000000e+02 7.616728986154421117e-13 1.523345797230884223e-12 1.523345797230884223e-12 1.666365000000000096e+00 1.931108696819960656e-15 1.735048245121258533e-19
1.060000000000000000e+02 7.616753626219629856e-13 1.523350725243925971e-12 1.523350725243925971e-12 1.653685999999999989e+00 1.894977332286717221e-15 1.670761181702272339e-19
1.070000000000000000e+02 7.616778498819127102e-13 1.523355699763825420e-12 1.523355699763825420e-12 1.641151000000000026e+00 1.859852982615385396e-15 1.609426257022659792e-19
1.080000000000000000e+02 7.616803603955187803e-13 1.523360720791037561e-12 1.523360720791037561e-12 1.628996000000000111e+00 1.825698548048900788e-15 1.550882218865868838e-19
1.090000000000000000e+02 7.616828941630112153e-13 1.523365788326022431e-12 1.523365788326022431e-12 1.617089999999999916e+00 1.792478622150120212e-15 1.494978000125204554e-19
1.100000000000000000e+02 7.616854511846221548e-13 1.523370902369244310e-12 1.523370902369244310e-12 1.605385999999999980e+00 1.760159399885409176e-15 1.441571990078140284e-19
1.110000000000000000e+02 7.616880314605856570e-13 1.523376062921171314e-12 1.523376062921171314e-12 1.593919000000000086e+00 1.728708591477369137e-15 1.390531363800972444e-19
1.120000000000000000e+02 7.616906349911377995e-13 1.523381269982275599e-12 1.523381269982275599e-12 1.582680000000000087e+00 1.698095341616530388e-15 1.341731464614831435e-19
1.130000000000000000e+02 7.616932617765171844e-13 1.523386523553034369e-12 1.523386523553034369e-12 1.571698999999999957e+00 1.668299444987463435e-15 1.295062447591572166e-19
1.140000000000000000e+02 7.616959118169642313e-13 1.523391823633928463e-12 1.523391823633928463e-12 1.560897999999999897e+00 1.639292186917332209e-15 1.250413567442663787e-19
1.150000000000000000e+02 7.616985851127216820e-13 1.523397170225443364e-12 1.523397170225443364e-12 1.550340999999999969e+00 1.611037141615309422e-15 1.207674019201881084e-19
1.160000000000000000e+02 7.617012816640340961e-13 1.523402563328068192e-12 1.523402563328068192e-12 1.539919000000000038e+00 1.583508504311091757e-15 1.166746613845484636e-19
1.170000000000000000e+02 7.617040014711488604e-13 1.523408002942297721e-12 1.523408002942297721e-12 1.529763999999999902e+00 1.556681567703118665e-15 1.127539886790611783e-19
1.180000000000000000e+02 7.617067445343147754e-13 1.523413489068629551e-12 1.523413489068629551e-12 1.519800999999999958e+00 1.530532666412522067e-15 1.089967715718930280e-19
1.190000000000000000e+02 7.617095108537827618e-13 1.523419021707565524e-12 1.523419021707565524e-12 1.509959000000000051e+00 1.505039124689830795e-15 1.053948966869629380e-19
1.200000000000000000e+02 7.617123004298065678e-13 1.523424600859613136e-12 1.523424600859613136e-12 1.500301000000000107e+00 1.480179207158518945e-15 1.019407167464544601e-19
1.210000000000000000e+02 7.617151132626414562e-13 1.523430226525282912e-12 1.523430226525282912e-12 1.490758999999999945e+00 1.455932072395502353e-15 9.862702021375846086e-20
1.220000000000000000e+02 7.617179493525449113e-13 1.523435898705089823e-12 1.523435898705089823e-12 1.481362000000000068e+00 1.432277729163355708e-15 9.544700314296653089e-20
1.230000000000000000e+02 7.617208086997767395e-13 1.523441617399553479e-12 1.523441617399553479e-12 1.472107000000000054e+00 1.409196995122520601e-15 9.239424305812488102e-20
