#ell    N_ell^TT    N_ell^EE    N_ell^BB    C_ell^TT(delensed)  N_ell^dd    N_ell^phiphi
8.700000000000000000e+01 8.462583584305435564e-10 1.692516716861087113e-09 1.692516716861087113e-09 1.960242999999999958e+00 8.971858721137198889e-14 1.171872873711755486e-17
8.800000000000000000e+01 8.462606311875673297e-10 1.692521262375134659e-09 1.692521262375134659e-09 1.939642000000000088e+00 8.770274581475337669e-14 1.119800125316054330e-17
8.900000000000000000e+01 8.462629297775837013e-10 1.692525859555167403e-09 1.692525859555167403e-09 1.919764999999999944e+00 8.575430786506113407e-14 1.070590610050700796e-17
9.000000000000000000e+01 8.462652542008031886e-10 1.692530508401606377e-09 1.692530508401606377e-09 1.900465999999999989e+00 8.387029825496716211e-14 1.024057365750514765e-17
9.100000000000000000e+01 8.462676044574385839e-10 1.692535208914877168e-09 1.692535208914877168e-09 1.881666999999999978e+00 8.205159305481472420e-14 9.800715845056703880e-18
9.200000000000000000e+01 8.462699805477050576e-10 1.692539961095410115e-09 1.692539961095410115e-09 1.863456999999999919e+00 8.029165404686627360e-14 9.384251291125090586e-18
9.300000000000000000e+01 8.462723824718203648e-10 1.692544764943640730e-09 1.692544764943640730e-09 1.845812999999999926e+00 7.858797262585386387e-14 8.989701741689987775e-18
9.400000000000000000e+01 8.462748102300041222e-10 1.692549620460008244e-09 1.692549620460008244e-09 1.828554999999999930e+00 7.693817272826799347e-14 8.615696834072563594e-18
9.500000000000000000e+01 8.462772638224790480e-10 1.692554527644958096e-09 1.692554527644958096e-09 1.811822999999999961e+00 7.534000251351740954e-14 8.260965187885680703e-18
9.600000000000000000e+01 8.462797432494694117e-10 1.692559486498938823e-09 1.692559486498938823e-09 1.795395999999999992e+00 7.379132664806981489e-14 7.924326315299593248e-18
9.700000000000000000e+01 8.462822485112023776e-10 1.692564497022404755e-09 1.692564497022404755e-09 1.779560999999999948e+00 7.229011914312792924e-14 7.604683267739104543e-18
9.800000000000000000e+01 8.462847796079073850e-10 1.692569559215814770e-09 1.692569559215814770e-09 1.764146999999999910e+00 7.083445670091099735e-14 7.301015945259843030e-18
9.900000000000000000e+01 8.462873365398161480e-10 1.692574673079632296e-09 1.692574673079632296e-09 1.749044000000000043e+00 6.942251252867375089e-14 7.012375002896337886e-18
1.000000000000000000e+02 8.462899193071627585e-10 1.692579838614325517e-09 1.692579838614325517e-09 1.734380000000000033e+00 6.805255058325265898e-14 6.737876295371550499e-18
1.010000000000000000e+02 8.462925279101837902e-10 1.692585055820367580e-09 1.692585055820367580e-09 1.720048000000000021e+00 6.672292021222748591e-14 6.476695807826391451e-18
1.020000000000000000e+02 8.462951623491180916e-10 1.692590324698236183e-09 1.692590324698236183e-09 1.706258000000000052e+00 6.543205116076168159e-14 6.228065025772099788e-18
1.030000000000000000e+02 8.462978226242068892e-10 1.692595645248413778e-09 1.692595645248413778e-09 1.692639000000000005e+00 6.417844891587469214e-14 5.991266702378145313e-18
1.040000000000000000e+02 8.463005087356938910e-10 1.692601017471387782e-09 1.692601017471387782e-09 1.679359000000000046e+00 6.296069036232975184e-14 5.765630985561332336e-18
1.050000000000000000e+02 8.463032206838247698e-10 1.692606441367649540e-09 1.692606441367649540e-09 1.666363000000000039e+00 6.177741972652316693e-14 5.550531871206034615e-18
1.060000000000000000e+02 8.463059584688478865e-10 1.692611916937695773e-09 1.692611916937695773e-09 1.653683999999999932e+00 6.062734478675431967e-14 5.345383952279519874e-18
1.070000000000000000e+02 8.463087220910141870e-10 1.692617444182028374e-09 1.692617444182028374e-09 1.641148999999999969e+00 5.950923333006600028e-14 5.149639436661994211e-18
1.080000000000000000e+02 8.463115115505765818e-10 1.692623023101153164e-09 1.692623023101153164e-09 1.628994000000000053e+00 5.842190983748607265e-14 4.962785409232592311e-18
1.090000000000000000e+02 8.463143268477904629e-10 1.692628653695580926e-09 1.692628653695580926e-09 1.617086999999999941e+00 5.736425238099473704e-14 4.784341316179711018e-18
1.100000000000000000e+02 8.463171679829136005e-10 1.692634335965827201e-09 1.692634335965827201e-09 1.605383999999999922e+00 5.633518971689868909e-14 4.613856651670654149e-18
1.110000000000000000e+02 8.463200349562063496e-10 1.692640069912412699e-09 1.692640069912412699e-09 1.593916000000000111e+00 5.533369856152965107e-14 4.450908828951870183e-18
1.120000000000000000e+02 8.463229277679310300e-10 1.692645855535862060e-09 1.692645855535862060e-09 1.582675999999999972e+00 5.435880103631039923e-14 4.295101219683185764e-18
1.130000000000000000e+02 8.463258464183525461e-10 1.692651692836705092e-09 1.692651692836705092e-09 1.571695999999999982e+00 5.341052395922339806e-14 4.146136000560736028e-18
1.140000000000000000e+02 8.463287909077381808e-10 1.692657581815476362e-09 1.692657581815476362e-09 1.560894000000000004e+00 5.248790400819343523e-14 4.003654005201635415e-18
1.150000000000000000e+02 8.463317612363574916e-10 1.692663522472714983e-09 1.692663522472714983e-09 1.550337999999999994e+00 5.158910464735289166e-14 3.867249223939496926e-18
1.160000000000000000e+02 8.463347574044825173e-10 1.692669514808965035e-09 1.692669514808965035e-09 1.539914999999999923e+00 5.071331128586736702e-14 3.736612974201839086e-18
1.170000000000000000e+02 8.463377794123877787e-10 1.692675558824775557e-09 1.692675558824775557e-09 1.529760000000000009e+00 4.985974389445615100e-14 3.611454722182829831e-18
1.180000000000000000e+02 8.463408272603498642e-10 1.692681654520699728e-09 1.692681654520699728e-09 1.519797000000000065e+00 4.902765525941348159e-14 3.491500873053231901e-18
1.190000000000000000e+02 8.463439009486477405e-10 1.692687801897295481e-09 1.692687801897295481e-09 1.509954999999999936e+00 4.821632933871853333e-14 3.376493651170765535e-18
1.200000000000000000e+02 8.463470004775629592e-10 1.692694000955125918e-09 1.692694000955125918e-09 1.500296999999999992e+00 4.742507971346655493e-14 3.266190062910919435e-18
1.210000000000000000e+02 8.463501258473795534e-10 1.692700251694759107e-09 1.692700251694759107e-09 1.490755000000000052e+00 4.665324812835442598e-14 3.160360935398620010e-18
1.220000000000000000e+02 8.463532770583834175e-10 1.692706554116766835e-09 1.692706554116766835e-09 1.481357999999999953e+00 4.590020311541344919e-14 3.058790025017556226e-18
1.230000000000000000e+02 8.463564541108632374e-10 1.692712908221726475e-09 1.692712908221726475e-09 1.472102999999999939e+00 4.516533869560542770e-14 2.961273190113128020e-18
1.240000000000000000e+02 8.463596570051097672e-10 1.692719314010219534e-09 1.692719314010219534e-09 1.462987000000000037e+00 4.444807315328572311e-14 2.867617622792627483e-18
1.250000000000000000e+02 8.463628857414165526e-10 1.692725771482833105e-09 1.692725771482833105e-09 1.453977999999999993e+00 4.374784787889614288e-14 2.777641135168009067e-18
1.260000000000000000e+02 8.463661403200792072e-10 1.692732280640158414e-09 1.692732280640158414e-09 1.445102000000000109e+00 4.306412627557905012e-14 2.691171495786717041e-18
1.270000000000000000e+02 8.463694207413955160e-10 1.692738841482791032e-09 1.692738841482791032e-09 1.436330000000000107e+00 4.239639272570795822e-14 2.608045812359003423e-18
1.280000000000000000e+02 8.463727270056662627e-10 1.692745454011332525e-09 1.692745454011332525e-09 1.427659000000000011e+00 4.174415161361063787e-14 2.528109957219636487e-18
1.290000000000000000e+02 8.463760591131939885e-10 1.692752118226387977e-09 1.692752118226387977e-09 1.419114999999999904e+00 4.110692640101824177e-14 2.451218032261075869e-18
1.300000000000000000e+02 8.463794170642836129e-10 1.692758834128567226e-09 1.692758834128567226e-09 1.410668999999999951e+00 4.048425875201353895e-14 2.377231870347242522e-18
1.310000000000000000e+02 8.463828008592429505e-10 1.692765601718485901e-09 1.692765601718485901e-09 1.402319000000000093e+00 3.987570770447160684e-14 2.306020570464469481e-18
1.320000000000000000e+02 8.463862104983816769e-10 1.692772420996763354e-09 1.692772420996763354e-09 1.394090000000000051e+00 3.928084888519007633e-14 2.237460064091482756e-18
1.330000000000000000e+02 8.463896459820121564e-10 1.692779291964024313e-09 1.692779291964024313e-09 1.385928000000000049e+00 3.869927376609516842e-14 2.171432710475545347e-18
1.340000000000000000e+02 8.463931073104489242e-10 1.692786214620897848e-09 1.692786214620897848e-09 1.377858000000000027e+00 3.813058895908409344e-14 2.107826918689004574e-18
1.350000000000000000e+02 8.463965944840089975e-10 1.692793188968017995e-09 1.692793188968017995e-09 1.369879000000000069e+00 3.757441554722627010e-14 2.046536794511234700e-18
1.360000000000000000e+02 8.464001075030115644e-10 1.692800215006023129e-09 1.692800215006023129e-09 1.361938000000000093e+00 3.703183731400894058e-14 1.987539572456469692e-18
1.370000000000000000e+02 8.464036463677786051e-10 1.692807292735557210e-09 1.692807292735557210e-09 1.354085999999999901e+00 3.650099074993939239e-14 1.930656445040695628e-18
1.380000000000000000e+02 8.464072110786337539e-10 1.692814422157267508e-09 1.692814422157267508e-09 1.346295999999999937e+00 3.598153947027383317e-14 1.875797073833481094e-18
1.390000000000000000e+02 8.464108016359038507e-10 1.692821603271807701e-09 1.692821603271807701e-09 1.338519999999999932e+00 3.547315906997263610e-14 1.822875594551522803e-18
1.400000000000000000e+02 8.464144180399173895e-10 1.692828836079834779e-09 1.692828836079834779e-09 1.330853999999999981e+00 3.497553661521555089e-14 1.771810365512439055e-18
1.410000000000000000e+02 8.464180602910057595e-10 1.692836120582011519e-09 1.692836120582011519e-09 1.323201999999999989e+00 3.448837015992017668e-14 1.722523731890928937e-18
1.420000000000000000e+02 8.464217283895024180e-10 1.692843456779004836e-09 1.692843456779004836e-09 1.315633000000000052e+00 3.401136828586889619e-14 1.674941804681813100e-18
1.430000000000000000e+02 8.464254223357434069e-10 1.692850844671486814e-09 1.692850844671486814e-09 1.308124999999999982e+00 3.354424966513575269e-14 1.628994253357408261e-18
1.440000000000000000e+02 8.464291421300668366e-10 1.692858284260133673e-09 1.692858284260133673e-09 1.300632000000000010e+00 3.308674264358654706e-14 1.584614111282880659e-18
1.450000000000000000e+02 8.464328877728132984e-10 1.692865775545626597e-09 1.692865775545626597e-09 1.293176000000000103e+00 3.263858484430008341e-14 1.541737593023149937e-18
1.460000000000000000e+02 8.464366592643258657e-10 1.692873318528651731e-09 1.692873318528651731e-09 1.285822999999999938e+00 3.219952278982927487e-14 1.500303922739226404e-18
1.470000000000000000e+02 8.464404566049499897e-10 1.692880913209899979e-09 1.692880913209899979e-09 1.278442000000000078e+00 3.176931154228634061e-14 1.460255172930977320e-18
1.480000000000000000e+02 8.464442797950333964e-10 1.692888559590066793e-09 1.692888559590066793e-09 1.271099999999999897e+00 3.134771436029724430e-14 1.421536112837712911e-18
1.490000000000000000e+02 8.464481288349260867e-10 1.692896257669852173e-09 1.692896257669852173e-09 1.263816999999999968e+00 3.093450237192811729e-14 1.384094065858081424e-18
1.500000000000000000e+02 8.464520037249807496e-10 1.692904007449961499e-09 1.692904007449961499e-09 1.256531000000000065e+00 3.052945426273918138e-14 1.347878775396873349e-18
1.510000000000000000e+02 8.464559044655520390e-10 1.692911808931104078e-09 1.692911808931104078e-09 1.249284000000000061e+00 3.013235597817218596e-14 1.312842278588889318e-18
1.520000000000000000e+02 8.464598310569971933e-10 1.692919662113994387e-09 1.692919662113994387e-09 1.242035999999999918e+00 2.974300043952336773e-14 1.278938787389205589e-18
1.530000000000000000e+02 8.464637834996760362e-10 1.692927566999352072e-09 1.692927566999352072e-09 1.234828999999999954e+00 2.936118727279801059e-14 1.246124576555386184e-18
1.540000000000000000e+02 8.464677617939502524e-10 1.692935523587900505e-09 1.692935523587900505e-09 1.227641999999999900e+00 2.898672254978307245e-14 1.214357878080564448e-18
1.550000000000000000e+02 8.464717659401842150e-10 1.692943531880368430e-09 1.692943531880368430e-09 1.220475999999999894e+00 2.861941854071297504e-14 1.183598781667203295e-18
1.560000000000000000e+02 8.464757959387447785e-10 1.692951591877489557e-09 1.692951591877489557e-09 1.213295000000000012e+00 2.825909347793880112e-14 1.153809140859823696e-18
1.570000000000000000e+02 8.464798517900009689e-10 1.692959703580001938e-09 1.692959703580001938e-09 1.206174000000000079e+00 2.790557133004534858e-14 1.124952484481389475e-18
1.580000000000000000e+02 8.464839334943239835e-10 1.692967866988647967e-09 1.692967866988647967e-09 1.199057999999999957e+00 2.755944425261890345e-14 1.097024291561933861e-18
1.590000000000000000e+02 8.464880410520878113e-10 1.692976082104175623e-09 1.692976082104175623e-09 1.191948000000000008e+00 2.722050568293707452e-14 1.069988430933060997e-18
1.600000000000000000e+02 8.464921744636686128e-10 1.692984348927337226e-09 1.692984348927337226e-09 1.184863999999999917e+00 2.688782096065269461e-14 1.043781869590555028e-18
1.610000000000000000e+02 8.464963337294450298e-10 1.692992667458890060e-09 1.692992667458890060e-09 1.177804000000000073e+00 2.656123708778657838e-14 1.018374246138585152e-18
1.620000000000000000e+02 8.465005188497976688e-10 1.693001037699595338e-09 1.693001037699595338e-09 1.170752999999999933e+00 2.624060570933062018e-14 9.937364882727645598e-19
1.630000000000000000e+02 8.465047298251100314e-10 1.693009459650220063e-09 1.693009459650220063e-09 1.163745999999999947e+00 2.592578294577583293e-14 9.698407506275561587e-19
1.640000000000000000e+02 8.465089666557676873e-10 1.693017933311535375e-09 1.693017933311535375e-09 1.156714000000000020e+00 2.561662923260445744e-14 9.466603559720789151e-19
