#    L    TT             EE             BB             TE          
   177    0.53277E+04    0.86342E+00    0.97186E-02   -0.38571E+02
   178    0.53526E+04    0.85284E+00    0.98418E-02   -0.37883E+02
   179    0.53771E+04    0.84219E+00    0.99659E-02   -0.37167E+02
   180    0.54012E+04    0.83167E+00    0.10091E-01   -0.36424E+02
   181    0.54248E+04    0.82130E+00    0.10217E-01   -0.35653E+02
   182    0.54479E+04    0.81115E+00    0.10344E-01   -0.34855E+02
   183    0.54705E+04    0.80113E+00    0.10472E-01   -0.34029E+02
   184    0.54927E+04    0.79134E+00    0.10600E-01   -0.33176E+02
   185    0.55145E+04    0.78191E+00    0.10730E-01   -0.32298E+02
   186    0.55354E+04    0.77270E+00    0.10860E-01   -0.31391E+02
   187    0.55561E+04    0.76386E+00    0.10991E-01   -0.30457E+02
   188    0.55763E+04    0.75536E+00    0.11124E-01   -0.29498E+02
   189    0.55959E+04    0.74726E+00    0.11257E-01   -0.28512E+02
   190    0.56153E+04    0.73959E+00    0.11391E-01   -0.27501E+02
   191    0.56338E+04    0.73239E+00    0.11525E-01   -0.26462E+02
   192    0.56519E+04    0.72567E+00    0.11661E-01   -0.25398E+02
   193    0.56694E+04    0.71948E+00    0.11797E-01   -0.24310E+02
   194    0.56866E+04    0.71384E+00    0.11935E-01   -0.23196E+02
   195    0.57031E+04    0.70880E+00    0.12073E-01   -0.22058E+02
   196    0.57189E+04    0.70440E+00    0.12212E-01   -0.20895E+02
   197    0.57344E+04    0.70066E+00    0.12351E-01   -0.19709E+02
   198    0.57492E+04    0.69763E+00    0.12492E-01   -0.18499E+02
   199    0.57636E+04    0.69533E+00    0.12633E-01   -0.17265E+02
   200    0.57774E+04    0.69380E+00    0.12775E-01   -0.16009E+02
   201    0.57905E+04    0.69309E+00    0.12918E-01   -0.14730E+02
   202    0.58032E+04    0.69322E+00    0.13062E-01   -0.13429E+02
   203    0.58152E+04    0.69424E+00    0.13206E-01   -0.12106E+02
   204    0.58265E+04    0.69617E+00    0.13351E-01   -0.10763E+02
   205    0.58373E+04    0.69907E+00    0.13497E-01   -0.93979E+01
   206    0.58474E+04    0.70297E+00    0.13643E-01   -0.80127E+01
   207    0.58570E+04    0.70789E+00    0.13790E-01   -0.66074E+01
   208    0.58658E+04    0.71388E+00    0.13938E-01   -0.51826E+01
   209    0.58739E+04    0.72098E+00    0.14086E-01   -0.37388E+01
   210    0.58815E+04    0.72923E+00    0.14235E-01   -0.22767E+01
   211    0.58884E+04    0.73866E+00    0.14385E-01   -0.79651E+00
   212    0.58946E+04    0.74930E+00    0.14535E-01    0.70088E+00
   213    0.59002E+04    0.76121E+00    0.14686E-01    0.22155E+01
   214    0.59052E+04    0.77436E+00    0.14838E-01    0.37461E+01
   215    0.59095E+04    0.78897E+00    0.14990E-01    0.52920E+01
   216    0.59131E+04    0.80483E+00    0.15143E-01    0.68536E+01
   217    0.59162E+04    0.82211E+00    0.15296E-01    0.84290E+01
   218    0.59186E+04    0.84081E+00    0.15450E-01    0.10018E+02
   219    0.59204E+04    0.86094E+00    0.15604E-01    0.11623E+02
   220    0.59215E+04    0.88263E+00    0.15759E-01    0.13237E+02
   221    0.59220E+04    0.90581E+00    0.15914E-01    0.14865E+02
   222    0.59220E+04    0.93064E+00    0.16070E-01    0.16503E+02
   223    0.59211E+04    0.95705E+00    0.16226E-01    0.18154E+02
   224    0.59198E+04    0.98502E+00    0.16382E-01    0.19813E+02
   225    0.59178E+04    0.10147E+01    0.16539E-01    0.21483E+02
   226    0.59151E+04    0.10461E+01    0.16697E-01    0.23160E+02
   227    0.59118E+04    0.10793E+01    0.16854E-01    0.24846E+02
   228    0.59079E+04    0.11142E+01    0.17012E-01    0.26540E+02
   229    0.59034E+04    0.11508E+01    0.17171E-01    0.28239E+02
   230    0.58982E+04    0.11893E+01    0.17330E-01    0.29946E+02
   231    0.58923E+04    0.12296E+01    0.17489E-01    0.31658E+02
   232    0.58859E+04    0.12718E+01    0.17648E-01    0.33374E+02
   233    0.58788E+04    0.13159E+01    0.17808E-01    0.35094E+02
   234    0.58710E+04    0.13620E+01    0.17967E-01    0.36817E+02
   235    0.58626E+04    0.14100E+01    0.18128E-01    0.38542E+02
   236    0.58535E+04    0.14599E+01    0.18288E-01    0.40270E+02
   237    0.58438E+04    0.15119E+01    0.18448E-01    0.41998E+02
   238    0.58335E+04    0.15660E+01    0.18609E-01    0.43727E+02
   239    0.58226E+04    0.16220E+01    0.18770E-01    0.45456E+02
   240    0.58110E+04    0.16801E+01    0.18931E-01    0.47182E+02
   241    0.57989E+04    0.17403E+01    0.19092E-01    0.48907E+02
   242    0.57862E+04    0.18026E+01    0.19253E-01    0.50630E+02
   243    0.57728E+04    0.18671E+01    0.19415E-01    0.52349E+02
   244    0.57588E+04    0.19336E+01    0.19576E-01    0.54064E+02
   245    0.57442E+04    0.20024E+01    0.19737E-01    0.55774E+02
   246    0.57291E+04    0.20733E+01    0.19899E-01    0.57479E+02
   247    0.57134E+04    0.21463E+01    0.20060E-01    0.59177E+02
   248    0.56970E+04    0.22218E+01    0.20222E-01    0.60869E+02
   249    0.56802E+04    0.22993E+01    0.20383E-01    0.62553E+02
   250    0.56628E+04    0.23792E+01    0.20544E-01    0.64228E+02
   251    0.56449E+04    0.24612E+01    0.20706E-01    0.65894E+02
   252    0.56263E+04    0.25455E+01    0.20867E-01    0.67551E+02
   253    0.56073E+04    0.26320E+01    0.21028E-01    0.69196E+02
   254    0.55878E+04    0.27208E+01    0.21189E-01    0.70830E+02
   255    0.55677E+04    0.28118E+01    0.21350E-01    0.72453E+02
   256    0.55471E+04    0.29052E+01    0.21511E-01    0.74064E+02
   257    0.55260E+04    0.30007E+01    0.21671E-01    0.75656E+02
   258    0.55044E+04    0.30987E+01    0.21831E-01    0.77240E+02
   259    0.54824E+04    0.31989E+01    0.21991E-01    0.78803E+02
   260    0.54599E+04    0.33013E+01    0.22151E-01    0.80359E+02
   261    0.54369E+04    0.34060E+01    0.22311E-01    0.81885E+02
   262    0.54133E+04    0.35131E+01    0.22470E-01    0.83404E+02
   263    0.53895E+04    0.36223E+01    0.22629E-01    0.84909E+02
   264    0.53652E+04    0.37339E+01    0.22788E-01    0.86391E+02
   265    0.53402E+04    0.38477E+01    0.22947E-01    0.87845E+02
   266    0.53150E+04    0.39639E+01    0.23105E-01    0.89291E+02
   267    0.52892E+04    0.40821E+01    0.23263E-01    0.90707E+02
   268    0.52630E+04    0.42028E+01    0.23420E-01    0.92109E+02
   269    0.52363E+04    0.43256E+01    0.23577E-01    0.93488E+02
   270    0.52093E+04    0.44506E+01    0.23734E-01    0.94846E+02
   271    0.51819E+04    0.45778E+01    0.23890E-01    0.96181E+02
   272    0.51542E+04    0.47074E+01    0.24046E-01    0.97486E+02
   273    0.51260E+04    0.48388E+01    0.24201E-01    0.98777E+02
   274    0.50975E+04    0.49727E+01    0.24356E-01    0.10003E+03
   275    0.50686E+04    0.51085E+01    0.24511E-01    0.10127E+03
   276    0.50395E+04    0.52464E+01    0.24665E-01    0.10247E+03
   277    0.50099E+04    0.53865E+01    0.24818E-01    0.10366E+03
   278    0.49800E+04    0.55287E+01    0.24971E-01    0.10481E+03
   279    0.49499E+04    0.56729E+01    0.25124E-01    0.10593E+03
   280    0.49194E+04    0.58190E+01    0.25276E-01    0.10703E+03
   281    0.48887E+04    0.59673E+01    0.25427E-01    0.10810E+03
   282    0.48576E+04    0.61173E+01    0.25578E-01    0.10914E+03
   283    0.48263E+04    0.62693E+01    0.25728E-01    0.11014E+03
   284    0.47947E+04    0.64233E+01    0.25878E-01    0.11112E+03
   285    0.47629E+04    0.65792E+01    0.26027E-01    0.11207E+03
   286    0.47308E+04    0.67368E+01    0.26176E-01    0.11298E+03
   287    0.46985E+04    0.68963E+01    0.26324E-01    0.11387E+03
   288    0.46659E+04    0.70576E+01    0.26471E-01    0.11472E+03
   289    0.46332E+04    0.72205E+01    0.26618E-01    0.11554E+03
   290    0.46002E+04    0.73851E+01    0.26764E-01    0.11633E+03
   291    0.45671E+04    0.75519E+01    0.26909E-01    0.11707E+03
   292    0.45336E+04    0.77200E+01    0.27054E-01    0.11780E+03
   293    0.45001E+04    0.78889E+01    0.27198E-01    0.11847E+03
   294    0.44663E+04    0.80601E+01    0.27342E-01    0.11913E+03
   295    0.44326E+04    0.82322E+01    0.27485E-01    0.11974E+03
   296    0.43986E+04    0.84066E+01    0.27627E-01    0.12032E+03
   297    0.43645E+04    0.85811E+01    0.27768E-01    0.12087E+03
   298    0.43301E+04    0.87579E+01    0.27909E-01    0.12137E+03
   299    0.42957E+04    0.89362E+01    0.28049E-01    0.12184E+03
   300    0.42612E+04    0.91148E+01    0.28189E-01    0.12227E+03
   301    0.42265E+04    0.92948E+01    0.28328E-01    0.12267E+03
   302    0.41919E+04    0.94758E+01    0.28466E-01    0.12303E+03
   303    0.41571E+04    0.96583E+01    0.28603E-01    0.12336E+03
   304    0.41223E+04    0.98424E+01    0.28740E-01    0.12364E+03
   305    0.40874E+04    0.10027E+02    0.28876E-01    0.12388E+03
   306    0.40525E+04    0.10212E+02    0.29011E-01    0.12409E+03
