#    L    TT             EE             BB             TE             PP             TP             EP          
   115    0.32847E+04    0.96761E+00    0.00000E+00   -0.33427E+02    0.86374E-07    0.31201E-03   -0.94074E-06
   116    0.33195E+04    0.97852E+00    0.00000E+00   -0.34046E+02    0.85814E-07    0.30862E-03   -0.94868E-06
   117    0.33546E+04    0.98906E+00    0.00000E+00   -0.34657E+02    0.85259E-07    0.30528E-03   -0.95665E-06
   118    0.33898E+04    0.99938E+00    0.00000E+00   -0.35260E+02    0.84708E-07    0.30199E-03   -0.96460E-06
   119    0.34251E+04    0.10093E+01    0.00000E+00   -0.35854E+02    0.84161E-07    0.29876E-03   -0.97246E-06
   120    0.34605E+04    0.10188E+01    0.00000E+00   -0.36438E+02    0.83618E-07    0.29557E-03   -0.98018E-06
   121    0.34959E+04    0.10280E+01    0.00000E+00   -0.37012E+02    0.83079E-07    0.29244E-03   -0.98771E-06
   122    0.35314E+04    0.10366E+01    0.00000E+00   -0.37575E+02    0.82545E-07    0.28937E-03   -0.99499E-06
   123    0.35669E+04    0.10449E+01    0.00000E+00   -0.38128E+02    0.82015E-07    0.28634E-03   -0.10020E-05
   124    0.36025E+04    0.10527E+01    0.00000E+00   -0.38667E+02    0.81490E-07    0.28336E-03   -0.10086E-05
   125    0.36382E+04    0.10602E+01    0.00000E+00   -0.39194E+02    0.80968E-07    0.28043E-03   -0.10148E-05
   126    0.36739E+04    0.10672E+01    0.00000E+00   -0.39710E+02    0.80451E-07    0.27755E-03   -0.10205E-05
   127    0.37096E+04    0.10737E+01    0.00000E+00   -0.40212E+02    0.79938E-07    0.27472E-03   -0.10256E-05
   128    0.37453E+04    0.10799E+01    0.00000E+00   -0.40701E+02    0.79430E-07    0.27193E-03   -0.10302E-05
   129    0.37811E+04    0.10855E+01    0.00000E+00   -0.41175E+02    0.78925E-07    0.26919E-03   -0.10342E-05
   130    0.38168E+04    0.10906E+01    0.00000E+00   -0.41634E+02    0.78425E-07    0.26650E-03   -0.10374E-05
   131    0.38526E+04    0.10954E+01    0.00000E+00   -0.42079E+02    0.77929E-07    0.26385E-03   -0.10399E-05
   132    0.38884E+04    0.10996E+01    0.00000E+00   -0.42507E+02    0.77437E-07    0.26124E-03   -0.10417E-05
   133    0.39242E+04    0.11033E+01    0.00000E+00   -0.42920E+02    0.76950E-07    0.25868E-03   -0.10427E-05
   134    0.39600E+04    0.11067E+01    0.00000E+00   -0.43315E+02    0.76466E-07    0.25616E-03   -0.10431E-05
   135    0.39957E+04    0.11094E+01    0.00000E+00   -0.43693E+02    0.75987E-07    0.25368E-03   -0.10429E-05
   136    0.40313E+04    0.11117E+01    0.00000E+00   -0.44051E+02    0.75512E-07    0.25124E-03   -0.10420E-05
   137    0.40669E+04    0.11135E+01    0.00000E+00   -0.44392E+02    0.75040E-07    0.24884E-03   -0.10406E-05
   138    0.41025E+04    0.11148E+01    0.00000E+00   -0.44714E+02    0.74573E-07    0.24647E-03   -0.10386E-05
   139    0.41377E+04    0.11158E+01    0.00000E+00   -0.45016E+02    0.74110E-07    0.24414E-03   -0.10361E-05
   140    0.41731E+04    0.11161E+01    0.00000E+00   -0.45299E+02    0.73651E-07    0.24185E-03   -0.10330E-05
   141    0.42082E+04    0.11159E+01    0.00000E+00   -0.45561E+02    0.73196E-07    0.23959E-03   -0.10295E-05
   142    0.42434E+04    0.11152E+01    0.00000E+00   -0.45802E+02    0.72744E-07    0.23736E-03   -0.10256E-05
   143    0.42784E+04    0.11141E+01    0.00000E+00   -0.46023E+02    0.72297E-07    0.23517E-03   -0.10212E-05
   144    0.43132E+04    0.11125E+01    0.00000E+00   -0.46223E+02    0.71853E-07    0.23300E-03   -0.10165E-05
   145    0.43479E+04    0.11105E+01    0.00000E+00   -0.46400E+02    0.71413E-07    0.23087E-03   -0.10114E-05
   146    0.43826E+04    0.11079E+01    0.00000E+00   -0.46556E+02    0.70977E-07    0.22876E-03   -0.10060E-05
   147    0.44169E+04    0.11049E+01    0.00000E+00   -0.46688E+02    0.70545E-07    0.22668E-03   -0.10003E-05
   148    0.44511E+04    0.11014E+01    0.00000E+00   -0.46798E+02    0.70116E-07    0.22462E-03   -0.99430E-06
   149    0.44852E+04    0.10974E+01    0.00000E+00   -0.46884E+02    0.69691E-07    0.22260E-03   -0.98807E-06
   150    0.45190E+04    0.10931E+01    0.00000E+00   -0.46945E+02    0.69270E-07    0.22059E-03   -0.98163E-06
   151    0.45527E+04    0.10883E+01    0.00000E+00   -0.46983E+02    0.68852E-07    0.21861E-03   -0.97500E-06
   152    0.45860E+04    0.10830E+01    0.00000E+00   -0.46997E+02    0.68438E-07    0.21665E-03   -0.96818E-06
   153    0.46191E+04    0.10773E+01    0.00000E+00   -0.46984E+02    0.68028E-07    0.21471E-03   -0.96117E-06
   154    0.46521E+04    0.10712E+01    0.00000E+00   -0.46947E+02    0.67621E-07    0.21280E-03   -0.95397E-06
   155    0.46848E+04    0.10647E+01    0.00000E+00   -0.46885E+02    0.67218E-07    0.21091E-03   -0.94657E-06
   156    0.47171E+04    0.10579E+01    0.00000E+00   -0.46798E+02    0.66818E-07    0.20904E-03   -0.93897E-06
   157    0.47493E+04    0.10507E+01    0.00000E+00   -0.46685E+02    0.66422E-07    0.20719E-03   -0.93116E-06
   158    0.47812E+04    0.10431E+01    0.00000E+00   -0.46545E+02    0.66029E-07    0.20536E-03   -0.92315E-06
   159    0.48128E+04    0.10351E+01    0.00000E+00   -0.46380E+02    0.65639E-07    0.20355E-03   -0.91493E-06
   160    0.48442E+04    0.10269E+01    0.00000E+00   -0.46188E+02    0.65253E-07    0.20176E-03   -0.90649E-06
   161    0.48754E+04    0.10183E+01    0.00000E+00   -0.45969E+02    0.64871E-07    0.20000E-03   -0.89783E-06
   162    0.49062E+04    0.10094E+01    0.00000E+00   -0.45724E+02    0.64491E-07    0.19825E-03   -0.88895E-06
   163    0.49369E+04    0.10002E+01    0.00000E+00   -0.45453E+02    0.64115E-07    0.19653E-03   -0.87985E-06
   164    0.49671E+04    0.99079E+00    0.00000E+00   -0.45155E+02    0.63742E-07    0.19482E-03   -0.87052E-06
   165    0.49971E+04    0.98104E+00    0.00000E+00   -0.44829E+02    0.63373E-07    0.19313E-03   -0.86096E-06
   166    0.50269E+04    0.97114E+00    0.00000E+00   -0.44476E+02    0.63007E-07    0.19146E-03   -0.85116E-06
   167    0.50564E+04    0.96085E+00    0.00000E+00   -0.44097E+02    0.62644E-07    0.18982E-03   -0.84113E-06
   168    0.50854E+04    0.95055E+00    0.00000E+00   -0.43690E+02    0.62284E-07    0.18819E-03   -0.83085E-06
   169    0.51142E+04    0.93994E+00    0.00000E+00   -0.43254E+02    0.61927E-07    0.18657E-03   -0.82033E-06
   170    0.51426E+04    0.92924E+00    0.00000E+00   -0.42792E+02    0.61573E-07    0.18498E-03   -0.80957E-06
   171    0.51705E+04    0.91846E+00    0.00000E+00   -0.42300E+02    0.61223E-07    0.18341E-03   -0.79855E-06
   172    0.51981E+04    0.90752E+00    0.00000E+00   -0.41781E+02    0.60875E-07    0.18185E-03   -0.78727E-06
   173    0.52252E+04    0.89642E+00    0.00000E+00   -0.41235E+02    0.60531E-07    0.18031E-03   -0.77574E-06
   174    0.52521E+04    0.88546E+00    0.00000E+00   -0.40660E+02    0.60189E-07    0.17879E-03   -0.76395E-06
   175    0.52785E+04    0.87433E+00    0.00000E+00   -0.40058E+02    0.59851E-07    0.17728E-03   -0.75189E-06
   176    0.53044E+04    0.86327E+00    0.00000E+00   -0.39427E+02    0.59515E-07    0.17579E-03   -0.73957E-06
